code,ciudad,pais,annual_millions,annual_year,asientos,asientos_habitantes,autos_hab,average_buses,average_buses.1,average_buses.2,brand_logo,capital_day,capital_km,ciclocarriles_km,ciclovias_km,citys_ppm,citywide_fatalities,citywide_injuries,citywide_modes,clase_organizacion,corridors,costo_automovil,costo_bus,costo_bus2,costo_bus3,costo_motocicleta,daily_day,densidad_km2,depots,energia_gep,equipment_million,fare_system,feeder_routes,fleet_buses,fleet_buses.1,fleet_buses.2,fleet_buses.3,flota_articulado,flota_automovil,flota_barcos,flota_biarticulado,flota_colectivos,flota_estandar,flota_individual,flota_jeeps,flota_microbus,flota_motocicleta,flota_vans,fuel_buses,fuel_buses.1,fuel_buses.2,fuel_buses.3,fuel_buses.4,fuel_buses.5,gdp_us,infrastructure_km,instrumento_legal,integration_terminals,intersecciones_semaforicas,lane_stations,lane_ways,millones_colectivo,millones_individual,millones_pie,millones_total,modal_motorized,modal_transport,modal_transport.1,motos_hab,operaciones_exclusivas,operaciones_pico,operaciones_placa,operaciones_reversibles,operaciones_semana,operating_speed,operational_ipk,operations_center,otra_km,overtaking_lanes,patrimonio_auto3,patrimonio_hab,patrimonio_moto3,patrimonio_publico3,patrimonio_rieles3,patrimonio_tc3,patrimonio_total,patrimonio_vias3,peak_direction,peak_hour,pib_hab,pib_usd,planning_million,poblacion,population_area,population_area.1,population_city,position_doors,position_lanes,position_lanes.1,preboard_collection,prioridad_1,prioridad_2,propulsion_buses,propulsion_buses.1,propulsion_buses.2,real_information,recaudacion_ano,recursos_ferreo,recursos_neumaticos,salario_usd,sistema_km,standard_us,station_level,station_m,stations,subsidios_ano,subsidios_recaudo,superficie_km2,system_km,system_name,tarifa_metro,tarifa_microbus,tarifa_minimo,tarifa_omnibus,tarifa_tranvia,tarifa_tren,total_fleet,total_km,transfer_stations,transit_agency,trunk_lines,typical_type,unique_livery,user_rating,vagones_metro,vagones_tranvia,vagones_tren,viaje_bici,viaje_colectivo,viaje_individual,viaje_total,vias_acera,vias_brt,vias_via,victimas_fatales,victimas_hab,year_commenced
BR-UDI,Uberlândia,Brasil,5.35080768058519,6600000,,,,5,3.5,,No,,1.50997150997151,,,S500,148,,,,1,,,,,,22000,,,,2.13675213675214,Yes,,41,10,0,0,,,,,,,,,,,,Diesel and electricity,,,,,,8538.6,1.22507122507123,,2,,Asphalt,Asphalt,,,,,36,38,26,,,,,,,25,1.88,All,,None,,,,,,,,,3583,20,,,,,654681,159.088269214226,662362,Left & Right,Median,,All,,,"Hybrid, Eletric & Combustion",,,All,,,,,,1.15818348064614,Low-level platform,500,13,,,,7.5,Sistema Integrado de Transportes de Uberlândia,,,,,,,51,1.50997150997151,0,SETTRAN,3,Diesel,No,Average,,,,,,,,,,,,,2006
CL-CCP,Concepción,Chile,18.619121258983,40800000,,,,,,,No,,,,,,,,,,3,,,,,,136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,13383.9,,,,,Asphalt & Concrete,Asphalt & Concrete,,,,,43.4,42.1,14.5,,,,,,,,,,,All,,,,,,,,,,,,,,,967757,281.406513521373,967757,Right,Median & Curbside,,None,,,,,,None,,,,,,0.651930016070833,Low-level platform,329.347826086957,46,,,,15.15,,,,,,,,,6.45106382978723,,SEREMITT,,,Yes,,,,,,,,,,,,,,2005
CL-SCL,Santiago,Chile,69.4434640225598,102240000,1250275,214.0054044163,252.4544022823,,,,Yes,,,,255,,,,Yes,Empresa privada,13,0.6006030151,1.0115512628,0.5937445161,0.3598451613,0.3640018273,340800,8825,,357.0448296282,,Yes,,,,0,0,1433,1649479,,,13302,5080,27720,,1626,83491,,,,,,,,13383.9,5.73,Concesión,0,2660,Concrete,Concrete,5.47995,5.986942484,2.2592518821,13.7261443661,42,35,23,14.2908761833,32.9,74,,,59,26.18,,All,59,Partial,23682.3977027997,7795.5889489087,107.612559551,1533.3749486067,6800,495.8,45543.8496970625,12924.6644861051,13500,185,18383.7261787435,107.4024897213,,5842259,6685685,446.9,4977637,Right,Curbside & Median,,Partial,1.9793242562,0.6933938477,,,,None,1578.0341010246,3887,59269,393.1997650591,15864,0.97031444252403,"Low-level platform & On-street, no level boarding",416.142857142857,127,653.6,41.4186233096,662,90.15,Transantiago corridors,0.962605234,0.9789205769,0.00257261410786438,1.0115512628,,1.0604972917,,,10,DTPM,55,Diesel,Yes,Good,1093,,39,0.5145911679,0.4069778984,0.1277909918,1.0493600581,75.15,34.55,,431,6.5964978871,2006
CO-BAQ,Barranquilla,Colombia,14.4174322576366,34500000,172616,86.1094459868,50.7547636601,,,,Yes,,,,,,,,,Empresa privada,2,0.6763756413,0.7105656939,0.9518833333,0.3621039729,0.2572986608,115000,15851.7871263641,,119.7452528131,,Yes,18,0,39,0,0,25,102782,,,961,1201,16472,,23,100658,,Diesel,,Diesel,,,,6056.1,,Permisión,1,300,Concrete,Concrete,0.984788,0.472552,0.662961,2.120301,31.2,50.2,18.6,50.2130830977,0,0,Autos/taxis,0,5.7,22,,All,,Partial,1590.8384925976,1587.2968424408,189.2864842045,144.9092114945,,134,3181.9222344031,1122.8880461065,,54,3929.92882934745,7.8780021401,,2004617,1897989,3649.97884615385,1386865,Left,Median,,None,0,0.8869755517,Combustion,Combustion,,All,215.66181909,0,6895,257.4755690795,1510.7519,0.596995124539816,High level platform,933.333333333333,15,,,126.46,14,Transmetro,,0.7105656939,0.00275974025978597,0.7105656939,,,39,,1,Transmetro S.A.,9,Diesel,Yes,,,,,0.3399492272,0.5588917983,0.1680999413,1.0669409668,,13.4,,149,7.3577667153,2010
CO-BGA,Bucaramanga,Colombia,10.5309939968824,21600000,,,,2,2,,Yes,,,,,,,,No,,1,,,,,,72000,,,,,Yes,21,102,29,0,0,,,,,,,,,,,,Diesel,,Diesel,,,,6056.1,,,2,,Concrete,Concrete,,,,,18,48,34,,,,,,,20,,All,,All,,,,,,,,,4525,45,,,,,1089269,740,525119,Left,Median,,All,,,Combustion,Combustion,,All,,,,,,0.696494311963119,High level platform,530,17,,,,8.95,Metrolínea,,,,,,,131,,0,Metrolínea S.A.,2,Diesel,Yes,,,,,,,,,,,,,,2010
CO-BOG,Bogotá,Colombia,262.392623793572,565100000,780807,86.0904066443,190.7012806603,,6.45,1.9,Yes,1293,,13,392,S50,,,No,Empresa privada,11,0.6794339764,0.6269697299,1.0836790741,0.4122401184,0.2584620757,2213236,19333.2314406012,9,258.6788880204,,Yes,107,88,1379,230,0,1454,1770895,,312,,3880,58339,,8408,667926,,,,Diesel,1.66,Diesel,1.66,6056.1,26.53,Concesión,9,1326,Concrete,Concrete,6.33199,4.174317,3.077721,13.584028,15,59,26,73.6443121493,0,0,Autos/taxis,0,121,26.2,5.3,All,,All,27409.5457604307,4228.8965280346,1256.0289718532,2316.2519649231,,1129,38354.4887574899,6243.6620602829,48000,320,6139.99762611911,55.6874514098,,9069621,9155100,3347.38574040219,7760500,Left,Median,,All,4.54472667,1.2680348487,,Combustion,Combustion,All,822.2333705283,0,200105,257.4755690795,8911.42701,0.663327916155351,High level platform,812.230215827338,139,,,469.1208,112.9,TransMilenio,,0.61,0.00243506493505958,0.6269697299,,,1697,,1,Transmilenio S.A.,117,Diesel,Yes,Good,,,,0.4258417193,0.6981537597,0.373754868,1.497750347,,109.3,,640,6.8919286362,2000
CO-CLO,Cali,Colombia,59.0940459686246,141408300,152207,54.6590804389,129.338070644,3,3,,Yes,620,,,25.5,S50,272,,No,Empresa pública,6,0.6821290174,0.6687677119,1.0199789931,0.3880081022,0.2594872907,471361,18397.0138407162,2,201.9364661824,,Yes,79,523,199,0,0,535,387106,,,,519,19717,,306,266658,,Diesel,,Diesel,,,,6056.1,7.8974358974359,,5,466,Concrete,Concrete,0.8711,1.971329,1.421079,4.263508,35,48,17,95.7594883979,0,0,,0,74,17.78,2.9,All,,Partial,5991.5464333782,3169.0064424409,501.4480250454,147.3642991135,,381,8824.6181560333,1803.2593984962,13000,25,5016.17842116679,13.968371467,,2784664,3523526,326.98,2344703,Left & Right,Median,,All,1.0892780863,1.6275096113,Combustion,Combustion,,All,164.739229078,0,5135,257.4755690795,2341,0.596995124539816,High level platform,680.566037735849,53,,,151.365,36.07,MIO,,,0.00259740259742277,0.6687677119,,,722,,4,Metro Cali S.A.,13,Diesel,Yes,Average,,,,0.5961480452,0.3336524622,0.6012667956,1.5310673029,,36.3,,476,15.9038923774,2008
CO-CTG,Cartagena,Colombia,5.57195449570495,12000000,,,,,,,Yes,,,,,S50,,,,,1,,,,,,40000,,1,,,Yes,1,36,18,0,0,,,,,,,,,,,,CNG,,CNG,,,,6056.1,,,1,,Concrete,Concrete,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,1319359,382.400730392441,1001680,Left,Median,,All,,,,,,,,,,,,0.663327916155351,High level platform,629.411764705882,17,,,,10.7,Transcaribe,,,,,,,54,20.0934579439252,0,Transcaribe S.A,,CNG,Yes,,,,,,,,,,,,,,2016
CO-MDE,Medellín,Colombia,8.98477662432424,18000000,437187,129.2208374717,80.8568388608,1,1,,Yes,672,,,57.21,S50,,,Yes,Empresa privada,2,0.6842112535,0.7565434741,0.9043911909,0.3440375851,0.2602793898,60000,19595.7093128993,1,339.1077533844,,Yes,25,47,20,0,0,24,287410,,,,2827,25949,,574,301039,,CNG,1.2,CNG,1.2,,,6056.1,,,2,618,Asphalt & Concrete,Asphalt & Concrete,2.263899,1.862952,1.485946,5.612797,30,51,19,88.9790255428,0,,Autos/taxis/motos,,33.43,16,9.6,All,1.2,Partial,4671.9171480401,2883.2915196868,566.1011933324,196.5878175005,2567,125,9754.9191003124,1628.3129414395,2450,40,5366.78074276334,18.1572038822,,3383258,3442197,5840,2223078,Left & Right,Curbside & Median,,Partial,3.2401074378,0.6933974143,Electric,Electric,,None,491.9789742775,1329,13129,257.4755690795,1802.718,0.713077509867003,"High level platform & On-street, no level boarding",640,29,,,172.653,18,Metroplús,0.7314646849,,0.00293831168838549,0.7565434741,,,67,,2,Empresa de Transporte Masivo del Valle de Aburrá Ltda. (Metro),2,CNG,Yes,,165,,,0.4500981007,0.6691476086,0.5397460081,1.6589917175,,12.5,,455,12.8004807354,2011
CO-MTR,Montería,Colombia,,,17203,39.6770832687,29.4096504628,,,,,,,,19,,,,,Empresa privada,,0.7138622956,0.627090301,1.1383724074,0.4330458964,0.2715588815,,8485.0489236791,,65.8674546406,,,,,,,,,19638,,,16,119,1909,,151,114318,,,,,,,,,,Permisión,,39,,,0.097729488,0.2725721194,0.098497,0.4687986073,,,,263.6570368969,,,,,,,,,,,304.0113461538,1923.8807767679,215.0153352843,11.6500552858,,,834.1677704757,303.4910337518,,,3583.63595987878,1.5538143813,,433586,,,,,,,,2.6592022393,0,,,,,11.6909265945,0,929,257.525083612,714.5,,,,,,,51.1,,,,0.5434782609,0.00243506493505233,0.627090301,,,,,,,,,,,,,,0.3274228864,0.3601811128,0.3936085107,1.0812125099,,,,103,15.4251654836,
